timestamp,time_passed,is_keyboard,event,operator,task_id,repetition
1465419879.85132,0.0621502399,True,KeyReleased: 49,K,2,2
1465419880.04145,0.1901230812,True,1,K,2,2
1465419880.10355,0.0621013641,True,KeyReleased: 49,K,2,2
1465419880.28094,0.1773881912,True,1,K,2,2
1465419880.33582,0.0548756123,True,KeyReleased: 49,K,2,2
1465419880.52612,0.1902930737,True,1,K,2,2
1465419880.58168,0.055555582,True,KeyReleased: 49,K,2,2
1465419880.79109,0.209403038,True,1,K,2,2
1465419880.85507,0.063986063,True,KeyReleased: 49,K,2,2
1465419881.04235,0.1872787476,True,1,K,2,2
1465419881.09598,0.0536310673,True,KeyReleased: 49,K,2,2
1465419881.27171,0.1757240295,True,1,K,2,2
1465419881.32825,0.0565366745,True,KeyReleased: 49,K,2,2
1465419881.54579,0.2175433636,True,1,K,2,2
1465419881.59343,0.0476326942,True,KeyReleased: 49,K,2,2
1465419881.79622,0.2027859688,True,1,K,2,2
1465419881.85095,0.0547304153,True,KeyReleased: 49,K,2,2
1465419882.04241,0.1914553642,True,1,K,2,2
1465419882.10061,0.0581982136,True,KeyReleased: 49,K,2,2
1465419882.2967,0.1960861683,True,1,K,2,2
1465419882.34689,0.0501906872,True,KeyReleased: 49,K,2,2
1465419882.54212,0.1952242851,True,1,K,2,2
1465419882.59675,0.0546276569,True,KeyReleased: 49,K,2,2
1465419882.78856,0.1918098927,True,1,K,2,2
1465419882.847,0.0585012436,True,KeyReleased: 49,K,2,2
1465419883.04243,0.195366621,True,1,K,2,2
1465419883.08542,0.0429894924,True,KeyReleased: 49,K,2,2
1465419883.2944,0.2089698315,True,1,K,2,2
1465419883.35929,0.06488657,True,KeyReleased: 49,K,2,2
1465419883.8905,0.5312094688,False,switched to mouse,H,2,2
1465419902.11734,2.57492065429687E-05,True,switched to keyboard,H,2,3
1465419902.1174,4.88758087158203E-05,True,1,K,2,3
1465419902.16708,0.0496783257,True,KeyReleased: 49,K,2,3
1465419902.34897,0.181902647,True,1,K,2,3
1465419902.40568,0.0567014217,True,KeyReleased: 49,K,2,3
1465419902.59668,0.190997839,True,1,K,2,3
1465419902.65564,0.0589609146,True,KeyReleased: 49,K,2,3
1465419902.83576,0.1801187992,True,1,K,2,3
1465419902.89478,0.059015274,True,KeyReleased: 49,K,2,3
1465419903.07494,0.1801548004,True,1,K,2,3
1465419903.13912,0.0641751289,True,KeyReleased: 49,K,2,3
