pid,chords,event_type,value,start_time,time_passed,wpm
2,FALSE,key_pressed,76,1464638241.55298,0,57.6725791315
2,FALSE,key_pressed,69,1464638241.6419,0,58.7574380859
2,FALSE,key_pressed,70,1464638241.76845,0,59.4647431246
2,FALSE,key_pressed,79,1464638241.92138,0,59.9043159349
2,FALSE,key_pressed,78,1464638241.99329,0,61.0554615987
2,FALSE,key_pressed,44,1464638242.22533,0,60.7420113276
2,FALSE,word finished,Mobiltelefon,1464638239.99258,2.2337348461,62.4685928116
2,FALSE,key_pressed,0,1464638242.62446,0,59.0678830711
2,FALSE,key_pressed,68,1464638242.65737,0,60.4367257083
2,FALSE,key_pressed,65,1464638242.80158,0,60.8751949135
2,FALSE,key_pressed,83,1464638242.87378,0,61.880709857
2,FALSE,key_pressed,0,1464638243.06504,0,61.9019619039
2,FALSE,word finished,das,1464638242.65755,0.4081206322,63.4443551828
2,FALSE,key_pressed,69,1464638243.09728,0,63.1868374767
2,FALSE,key_pressed,82,1464638243.2902,0,63.1629860396
2,FALSE,key_pressed,72,1464638243.4902,0,63.0856504848
2,FALSE,key_pressed,69,1464638243.98595,0,60.8638276771
2,FALSE,key_pressed,66,1464638244.1543,0,61.06208394
2,FALSE,key_pressed,76,1464638244.2669,0,61.6342508013
2,FALSE,key_pressed,73,1464638244.39439,0,62.0902671179
2,FALSE,key_pressed,67,1464638244.57982,0,62.1427438844
2,FALSE,key_pressed,72,1464638244.58171,0,63.4245076029
2,FALSE,key_pressed,0,1464638244.71499,0,63.8016517863
2,FALSE,word finished,erheblich,1464638243.09743,1.6187682152,65.0692764604
2,FALSE,key_pressed,85,1464638244.78716,0,64.5820820209
2,FALSE,key_pressed,77,1464638244.99373,0,64.4436371046
2,FALSE,key_pressed,70,1464638245.09879,0,64.9778915694
2,FALSE,key_pressed,65,1464638245.20255,0,65.5094199699
2,FALSE,key_pressed,78,1464638245.33115,0,65.8662261881
2,FALSE,key_pressed,71,1464638245.4361,0,66.3686528347
2,FALSE,key_pressed,82,1464638245.61988,0,66.3495765187
2,FALSE,key_pressed,69,1464638245.85819,0,65.9881679811
2,FALSE,key_pressed,73,1464638245.98718,0,66.3149059782
2,FALSE,key_pressed,67,1464638246.08311,0,66.8383306581
2,FALSE,key_pressed,72,1464638246.17861,0,67.355151239
2,FALSE,key_pressed,69,1464638246.29146,0,67.7557625068
2,FALSE,key_pressed,82,1464638246.3872,0,68.2535078279
2,FALSE,key_pressed,69,1464638246.49129,0,68.6913773832
2,FALSE,key_pressed,0,1464638246.69945,0,68.4895013593
2,FALSE,word finished,umfangreichere,1464638244.7875,1.9132716656,69.5349045092
2,FALSE,key_pressed,16777248,1464638246.73205,0,69.3446590884
2,FALSE,key_pressed,70,1464638246.8197,0,68.8165473168
2,FALSE,key_pressed,85,1464638246.99594,0,68.8055752541
2,FALSE,key_pressed,78,1464638247.21913,0,68.5237449734
2,FALSE,key_pressed,75,1464638247.3961,0,68.5132316738
2,FALSE,key_pressed,84,1464638247.51539,0,68.8268355662
2,FALSE,key_pressed,73,1464638247.60339,0,69.3102754938
2,FALSE,key_pressed,79,1464638247.70898,0,69.6878781569
2,FALSE,key_pressed,78,1464638247.89261,0,69.624549674
2,FALSE,key_pressed,76,1464638248.08449,0,69.5181358725
2,FALSE,key_pressed,16777219,1464638248.94828,0,65.994809435
2,FALSE,key_pressed,65,1464638249.1482,0,64.174115777
